,Year,State,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,Population,gunspercapita
20,2019-07-01,Maryland,3248.0,17.0,3082.0,3162.0,84.0,50,0.0,4.0,3.0,0.0,71.0,92.0,0.0,35.0,14.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,2.0,0.0,9891,6045680,0.0016360442497783542
21,2019-07-01,Massachusetts,9084.0,0.0,3711.0,1886.0,387.0,132,7.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,8.0,3.0,0.0,0.0,15272,6892503,0.002215740783863279
22,2019-07-01,Michigan,17643.0,8.0,7396.0,5571.0,538.0,164,0.0,0.0,0.0,0.0,8.0,174.0,0.0,65.0,16.0,1.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,31607,9986857,0.0031648595749393426
23,2019-07-01,Minnesota,7939.0,19570.0,6938.0,6575.0,610.0,289,0.0,4.0,5.0,0.0,205.0,236.0,3.0,47.0,14.0,3.0,0.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,42454,5639632,0.007527796139889979
24,2019-07-01,Mississippi,1694.0,0.0,5769.0,3476.0,313.0,302,0.0,16.0,11.0,1.0,1474.0,829.0,1.0,5.0,1.0,0.0,0.0,0.0,16.0,5.0,2.0,1.0,2.0,0.0,13918,2976149,0.004676513171887563
25,2019-07-01,Missouri,2602.0,0.0,14131.0,10224.0,1249.0,787,0.0,13.0,10.0,1.0,1434.0,819.0,12.0,254.0,26.0,4.0,0.0,0.0,38.0,17.0,2.0,3.0,1.0,0.0,31627,6137428,0.00515313580868077
26,2019-07-01,Montana,1018.0,0.0,2615.0,3045.0,192.0,209,10.0,5.0,6.0,0.0,404.0,567.0,1.0,24.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,8110,1068778,0.0075881052940835235
27,2019-07-01,Nebraska,2736.0,77.0,80.0,1047.0,19.0,1,0.0,0.0,0.0,0.0,8.0,38.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4044,1934408,0.002090562073771407
28,2019-07-01,Nevada,1917.0,0.0,3852.0,1891.0,313.0,240,0.0,0.0,0.0,0.0,299.0,104.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,8635,3080156,0.002803429436690869
29,2019-07-01,New Hampshire,1169.0,0.0,3874.0,1996.0,217.0,0,81.0,0.0,15.0,0.0,0.0,13.0,0.0,63.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7439,1359711,0.0054710155319770155
30,2019-07-01,New Jersey,0.0,0.0,4160.0,2590.0,211.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,31.0,1.0,1.0,0.0,1.0,7049,8882190,0.0007936105847769525
31,2019-07-01,New Mexico,777.0,0.0,5219.0,3365.0,458.0,379,0.0,9.0,11.0,0.0,404.0,417.0,0.0,54.0,0.0,0.0,0.0,0.0,16.0,14.0,2.0,3.0,0.0,0.0,11128,2096829,0.005307061281582809
32,2019-07-01,New York,3060.0,2435.0,7051.0,8051.0,1055.0,214,0.0,0.0,1.0,0.0,26.0,30.0,0.0,31.0,66.0,1.0,1.0,4.0,245.0,175.0,12.0,4.0,8.0,1.0,22471,19453561,0.00115510985366638
33,2019-07-01,North Carolina,22769.0,118.0,1265.0,7650.0,806.0,185,0.0,13.0,16.0,1.0,1870.0,1358.0,12.0,500.0,85.0,12.0,7.0,5.0,7.0,10.0,2.0,1.0,2.0,0.0,36694,10488084,0.0034986371199925556
34,2019-07-01,North Dakota,302.0,0.0,1219.0,1942.0,111.0,72,13.0,3.0,1.0,0.0,37.0,76.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,3794,762062,0.004978597541932283
35,2019-07-01,Ohio,10259.0,116.0,15931.0,9342.0,1203.0,748,1.0,10.0,3.0,2.0,990.0,436.0,10.0,67.0,13.0,12.0,0.0,0.0,36.0,22.0,3.0,2.0,0.0,0.0,39206,11689100,0.0033540648980674302
36,2019-07-01,Oklahoma,3249.0,0.0,8752.0,5997.0,923.0,779,11.0,9.0,11.0,0.0,1676.0,1290.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,7.0,1.0,1.0,0.0,22754,3956971,0.005750358039015196
37,2019-07-01,Oregon,4178.0,765.0,11746.0,7572.0,0.0,6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24493,4217737,0.005807142550614227
38,2019-07-01,Pennsylvania,21201.0,0.0,33850.0,10017.0,27.0,0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66052,12801989,0.005159510760398248
39,2019-07-01,Rhode Island,0.0,0.0,788.0,479.0,73.0,125,0.0,0.0,0.0,0.0,3.0,2.0,0.0,27.0,49.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,3.0,0.0,1561,1059361,0.0014735297976799222
40,2019-07-01,South Carolina,8181.0,216.0,7274.0,3667.0,696.0,331,1.0,18.0,7.0,0.0,884.0,410.0,5.0,172.0,10.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,21886,5148714,0.004250770192323753
41,2019-07-01,South Dakota,478.0,0.0,2057.0,2214.0,159.0,106,0.0,2.0,0.0,0.0,152.0,145.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5323,884659,0.006017007683186403
42,2019-07-01,Tennessee,12773.0,1.0,19494.0,10191.0,1116.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43647,6829174,0.006391256102128896
43,2019-07-01,Texas,21477.0,0.0,34215.0,21520.0,3002.0,1887,2.0,71.0,46.0,5.0,5676.0,3098.0,34.0,63.0,4.0,0.0,0.0,0.0,43.0,32.0,5.0,1.0,1.0,1.0,91183,28995881,0.003144688033448613
44,2019-07-01,Utah,14092.0,55855.0,2558.0,2495.0,269.0,0,0.0,1.0,1.0,1.0,265.0,248.0,0.0,152.0,49.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76002,3205958,0.023706486485474857
45,2019-07-01,Vermont,0.0,0.0,1005.0,978.0,122.0,62,5.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2183,623989,0.003498459107452215
46,2019-07-01,Virginia,670.0,151.0,19139.0,9731.0,2757.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32513,8535519,0.0038091415413638
